show_id,sale_date,tickets_sold,cumulative_tickets_sold,revenue,cumulative_revenue,sales_rate,days_until_show
future_the_weeknd_20251028,2025-10-23,1116,1116,223200,223200,5.58,4
future_the_weeknd_20251028,2025-10-22,432,1548,86400,309600,7.74,5
future_the_weeknd_20251028,2025-10-21,47,1595,9400,319000,7.98,6
real_metallica_20251115,2025-10-23,517,517,103400,103400,2.58,22
real_metallica_20251115,2025-10-22,574,1091,114800,218200,5.46,23
real_metallica_20251115,2025-10-21,558,1649,111600,329800,8.24,24
real_metallica_20251115,2025-10-20,459,2108,91800,421600,10.54,25
real_metallica_20251115,2025-10-19,828,2936,165600,587200,14.68,26
real_metallica_20251115,2025-10-18,326,3262,65200,652400,16.31,27
real_metallica_20251115,2025-10-17,696,3958,139200,791600,19.79,28
real_metallica_20251115,2025-10-16,220,4178,44000,835600,20.89,29
real_metallica_20251115,2025-10-15,689,4867,137800,973400,24.34,30
real_metallica_20251115,2025-10-14,194,5061,38800,1012200,25.3,31
real_metallica_20251115,2025-10-13,176,5237,35200,1047400,26.19,32
real_metallica_20251115,2025-10-12,44,5281,8800,1056200,26.41,33
real_metallica_20251115,2025-10-11,549,5830,109800,1166000,29.15,34
real_metallica_20251115,2025-10-10,193,6023,38600,1204600,30.11,35
real_metallica_20251115,2025-10-09,150,6173,30000,1234600,30.86,36
real_metallica_20251115,2025-10-08,633,6806,126600,1361200,34.03,37
real_metallica_20251115,2025-10-07,370,7176,74000,1435200,35.88,38
real_metallica_20251115,2025-10-06,71,7247,14200,1449400,36.23,39
real_metallica_20251115,2025-10-05,116,7363,23200,1472600,36.81,40
real_metallica_20251115,2025-10-04,81,7444,16200,1488800,37.22,41
real_metallica_20251115,2025-10-03,103,7547,20600,1509400,37.73,42
real_metallica_20251116,2025-10-23,464,464,92800,92800,2.32,23
real_metallica_20251116,2025-10-22,373,837,74600,167400,4.18,24
real_metallica_20251116,2025-10-21,363,1200,72600,240000,6.0,25
real_metallica_20251116,2025-10-20,273,1473,54600,294600,7.36,26
real_metallica_20251116,2025-10-19,146,1619,29200,323800,8.09,27
